"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"A4GALT",1.44599387358884e-18,3.18233791543346,0.766,0.083,2.74753295920616e-14
"LPL",8.5457735506779e-18,4.83868054243593,0.617,0.018,1.62378243236431e-13
"KRT17",1.16620066664438e-17,2.97418779683783,0.894,0.266,2.21589788669099e-13
"AC117402.1",2.73157572515682e-16,2.90811571049544,0.745,0.11,5.19026703537047e-12
"TSPO",2.84815982200635e-16,1.61258185847605,0.979,0.55,5.41178847779426e-12
"ACP6",3.28359345424019e-16,-0.478692316545056,0.809,1,6.23915592240178e-12
"BST2",5.32466422793111e-16,1.24881055292883,0.979,0.67,1.01173944994919e-11
"PTGDS",6.78909771521809e-16,2.93879697558054,0.723,0.101,1.28999645686859e-11
"EMID1",1.45453350436928e-15,1.77773368626646,0.872,0.367,2.76375911165207e-11
"COPZ2",2.53229275479962e-15,1.15547145974776,0.979,0.505,4.81160946339476e-11
"ZSCAN18",4.58829527077944e-15,-0.916698101303076,0.617,0.982,8.71821984400801e-11
"FRZB",6.80256973506449e-15,2.2217615672597,0.851,0.284,1.2925562753596e-10
"CASC9",7.1550519549662e-15,-2.7198149304906,0.128,0.862,1.35953142196313e-10
"AC021504.1",1.60489100700298e-14,-2.33995242816592,0.17,0.844,3.04945340240636e-10
"SDC2",1.86683504806828e-14,1.64010383459483,0.957,0.495,3.54717327483453e-10
"ZNF426",1.8935573570596e-14,-0.772649999147704,0.66,0.982,3.59794833414894e-10
"PRKRIP1",2.50946533019731e-14,-0.596152113636117,0.83,1,4.76823507390791e-10
"FHIT",2.6159739055529e-14,-1.86979658156581,0.234,0.862,4.97061201794106e-10
"WDR6",2.99601824340844e-14,-1.18334712951884,0.447,0.927,5.69273426430037e-10
"FNDC1",3.10091720312438e-14,2.86567616145078,0.681,0.101,5.89205277765663e-10
"CLIC5",3.83376496339265e-14,4.36220509024882,0.511,0.018,7.28453680694238e-10
"SPARC",4.03908765054666e-14,1.34032867184163,0.979,0.752,7.67467044480371e-10
"INTU",4.28534769272125e-14,-1.29562840986671,0.447,0.89,8.14258915093964e-10
"LMNA",4.87184849904715e-14,1.88961472537987,0.979,0.606,9.25699933303948e-10
"MAGEA12",5.07422651259924e-14,1.57399851118736,0.894,0.367,9.64153779658982e-10
"LINC00665",5.27960810389976e-14,-2.50433720193085,0.149,0.798,1.00317833582199e-09
