"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KRT17",1.15990219016681e-27,2.5947935779866,0.849,0.301,2.20393015153596e-23
"BST2",1.54365198148545e-27,1.1659944019969,0.966,0.651,2.9330931300205e-23
"CASC9",5.00607679286331e-27,-2.36422167481471,0.16,0.855,9.51204651411957e-23
"TSPO",1.66951345415273e-26,1.45947373696618,0.966,0.527,3.17224251423559e-22
"LMNA",2.46093121242365e-25,1.5121983694515,0.966,0.645,4.67601539672618e-21
"AC023034.1",3.07296516420518e-25,-0.508878086863163,0.748,0.978,5.83894110850626e-21
"ACP6",4.73686868683003e-25,-0.305956618371967,0.899,0.995,9.00052419184574e-21
"MARCKSL1",7.65154596510615e-25,-1.31781898958875,0.622,0.962,1.45387024882982e-20
"ZSCAN18",8.52236717169743e-25,-0.660447574116416,0.723,0.978,1.61933498629423e-20
"SYNGR1",9.88536565653782e-25,1.18349169123672,0.916,0.516,1.87831832839875e-20
"A4GALT",1.13116996968507e-24,2.29533465655567,0.689,0.145,2.1493360593986e-20
"TRIM47",1.82011550878419e-24,2.71017817979328,0.655,0.108,3.45840147824084e-20
"WDR6",6.90413090439264e-24,-1.01561860153635,0.504,0.946,1.31185391314365e-19
"GTF2I",1.23324499039563e-23,-0.698760802354068,0.983,1,2.34328880625074e-19
"WASF3",1.87517174778338e-23,-1.84125389810918,0.235,0.839,3.56301383796321e-19
"SMARCC1",2.38723722771349e-23,-1.50643210156005,0.403,0.876,4.53598945637841e-19
"PHLDB3",2.57385873623625e-23,1.11895266555336,0.933,0.522,4.8905889847225e-19
"SDC2",4.24709434698521e-23,1.49335051937264,0.924,0.495,8.06990396870659e-19
"BBOX1-AS1",5.01326600560819e-23,-2.05658821317615,0.185,0.796,9.52570673725611e-19
"MAGEA12",8.09735922277108e-23,1.32372471001207,0.908,0.414,1.53857922591873e-18
"PTGDS",2.64476967209395e-22,2.10788273195742,0.714,0.177,5.02532685394571e-18
"H3F3A",2.97148527018301e-22,-1.08186702909689,1,1,5.64611916187474e-18
"AC021504.1",3.12335962452996e-22,-1.566037502418,0.303,0.86,5.93469562256938e-18
"LRRC27",4.04855813564839e-22,-1.34884674320706,0.353,0.86,7.69266531354551e-18
"FAM84B",6.47868319023963e-22,2.13353535211831,0.689,0.172,1.23101459297743e-17
"CSAG1",8.38212723609451e-22,1.14693117034091,0.933,0.495,1.59268799613032e-17
"TMEM204",8.98141786423086e-22,1.21994360098809,0.908,0.462,1.70655920838251e-17
"HIP1R",1.33929445870214e-21,-1.35682471809034,0.361,0.876,2.54479340097994e-17
"LGALS8",2.55348453093741e-21,1.40525016150327,0.882,0.376,4.85187595723418e-17
"NUPR1",2.59708181708963e-21,1.23716239173959,0.941,0.522,4.934715160652e-17
"B3GNT2",3.28730985902912e-21,1.43114668714829,0.874,0.403,6.24621746314124e-17
"AL022238.2",3.60832950911649e-21,1.3095751556333,0.857,0.382,6.85618690027224e-17
"HNRNPA1",3.61359022583117e-21,-0.700655815574456,0.975,1,6.86618278810181e-17
"GAMT",4.55204994185244e-21,-0.909621550438403,0.555,0.919,8.64935009451381e-17
"DKK3",5.45258069872994e-21,1.17382055063423,0.933,0.505,1.03604485856568e-16
"KIAA0040",6.756206068154e-21,1.67475191234407,0.782,0.285,1.28374671500994e-16
"TMA7",7.03233276845089e-21,-0.742800404257914,0.891,0.989,1.33621354933335e-16
"COPZ2",8.87293568055163e-21,0.896355182332993,0.891,0.543,1.68594650866162e-16
"TMSB15A",8.98819367832888e-21,-1.89371045103293,0.286,0.801,1.70784668081927e-16
"NME6",1.05080205897469e-20,-1.07839644259173,0.454,0.887,1.99662899225781e-16
"HVCN1",1.13411393431679e-20,-0.415456265001535,0.765,0.973,2.15492988659533e-16
"COL9A2",1.2202550570816e-20,-0.715507787258663,0.639,0.919,2.31860663396075e-16
"AC011632.1",1.2577292894225e-20,-1.96216398253675,0.193,0.79,2.3898114228317e-16
"TIMP3",1.39383353481091e-20,1.28036556417019,0.95,0.667,2.64842309949421e-16
"CPED1",1.64903529856328e-20,-1.1233117341016,0.756,0.984,3.13333197080009e-16
"PCDHB16",1.71911007192745e-20,-1.77808574953477,0.235,0.812,3.26648104766934e-16
"IFI44",1.86250353254339e-20,-1.94764878198465,0.193,0.79,3.5389429621857e-16
"LINC00924",2.05757754122168e-20,-1.7151068578483,0.261,0.79,3.90960308607531e-16
"BEX4",2.17451214044629e-20,-1.23084397397403,0.479,0.871,4.131790518062e-16
"HSP90AB1",2.9810926239249e-20,0.909182128089825,1,1,5.66437409471969e-16
"PTGFR",3.05294309868552e-20,1.83971266266461,0.739,0.242,5.80089718181235e-16
"RPL29",3.41688098999884e-20,-1.00729073639348,0.992,1,6.4924155690968e-16
"LSM8",3.50262371736655e-20,-0.680245859360685,1,0.995,6.65533532536818e-16
"PPP2R3A",3.59100926185453e-20,-0.515024416074868,0.765,0.978,6.8232766984498e-16
"HAS2-AS1",3.70799565567903e-20,1.41732214559843,0.807,0.339,7.04556254535572e-16
"STMN1",3.74365296800646e-20,-1.20743079059894,0.798,0.962,7.11331500450908e-16
"EMID1",4.02295789016455e-20,1.36541811838621,0.84,0.419,7.64402228710167e-16
"PIK3CD-AS2",4.3645121801858e-20,-1.00520147518591,0.454,0.887,8.29300959357104e-16
"STOM",4.46040970733492e-20,1.09135440879043,0.882,0.5,8.47522448490709e-16
"AC068580.4",4.53560715808651e-20,2.99976079295964,0.529,0.07,8.61810716108018e-16
"AC117402.1",5.07144433807902e-20,2.16031778447127,0.647,0.167,9.63625138678394e-16
"CCND2",5.08227431881179e-20,-0.832792814448005,0.798,0.995,9.65682943317427e-16
"AFMID",5.47008023434424e-20,-0.822208131515901,0.58,0.952,1.03936994532775e-15
"HLA-DPB1",5.96151784253211e-20,-1.36143878935677,0.345,0.844,1.13274800525953e-15
"ZNF439",6.65559454596993e-20,-2.15080565355193,0.16,0.731,1.26462951967975e-15
"SP140L",6.69184658827337e-20,-2.29904157303312,0.134,0.699,1.27151777023782e-15
"GTF2IRD1",6.72639311573338e-20,-0.727455241357745,0.622,0.946,1.2780819559205e-15
"KAZN",8.04738513073861e-20,0.898015439032568,0.924,0.618,1.52908364869164e-15
"LAMA4",8.12919189975455e-20,0.977050286267396,0.975,0.715,1.54462775287236e-15
"CLU",1.13284030253475e-19,1.31086099512543,0.908,0.452,2.15250985884628e-15
"SLC12A7",1.19806542244183e-19,-0.266492611534987,0.95,0.995,2.27644410918172e-15
"NREP",1.313580324434e-19,-0.586726944817916,0.992,0.995,2.49593397445704e-15
"STPG1",1.49283827307013e-19,-0.811148946242795,0.555,0.93,2.83654200266055e-15
"IGF2BP2",1.59594701330384e-19,-0.59856979598759,0.958,0.995,3.03245891997862e-15
"HMGN1",1.60618208457213e-19,-0.826629280125989,1,1,3.05190657889551e-15
"LINC00665",1.680236958981e-19,-1.50300121312884,0.303,0.817,3.19261824575979e-15
"C8orf59",1.974894480123e-19,-0.486187674382318,0.975,1,3.75249700168172e-15
"EBLN2",2.24463330701871e-19,-0.821520897286671,0.529,0.898,4.26502774666626e-15
"LYPD1",2.26952971975055e-19,3.58714847026744,0.471,0.043,4.31233342049802e-15
"ABL2",3.13967254685704e-19,1.35364218376109,0.866,0.409,5.96569180628306e-15
